B,G,R,Target
40,42,53,hijau
43,45,59,hijau
41,43,56,hijau
40,43,53,hijau
40,42,51,hijau
40,41,50,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,42,49,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,41,49,hijau
39,42,48,hijau
39,42,48,hijau
39,41,49,hijau
41,44,50,hijau
41,44,51,hijau
42,45,51,hijau
42,45,51,hijau
42,46,51,hijau
42,46,51,hijau
42,46,51,hijau
43,48,52,hijau
43,48,52,hijau
43,48,52,hijau
43,48,52,hijau
43,48,52,hijau
43,48,52,hijau
43,48,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,52,hijau
43,49,53,hijau
43,49,53,hijau
43,49,53,hijau
43,50,53,hijau
43,50,53,hijau
44,50,53,hijau
44,50,53,hijau
45,51,55,hijau
44,52,55,hijau
69,162,115,hijau
68,162,114,hijau
69,162,114,hijau
69,162,114,hijau
69,162,114,hijau
69,161,114,hijau
69,161,114,hijau
69,161,114,hijau
69,161,114,hijau
69,160,115,hijau
68,160,115,hijau
69,160,116,hijau
69,160,116,hijau
68,160,116,hijau
68,160,117,hijau
68,160,119,hijau
69,160,119,hijau
68,160,119,hijau
68,160,119,hijau
69,160,119,hijau
69,161,120,hijau
69,161,120,hijau
69,161,120,hijau
68,161,120,hijau
69,161,120,hijau
70,162,119,hijau
64,169,117,hijau
60,170,114,hijau
58,170,113,hijau
56,170,113,hijau
54,170,112,hijau
54,170,112,hijau
53,170,112,hijau
23,23,23,hitam
24,23,23,hitam
24,24,23,hitam
24,24,24,hitam
24,24,24,hitam
24,24,24,hitam
24,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
24,24,23,hitam
24,24,23,hitam
25,24,23,hitam
25,24,23,hitam
25,24,23,hitam
25,24,23,hitam
25,24,24,hitam
25,24,24,hitam
24,24,23,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,24,hitam
25,24,23,hitam
25,23,23,hitam
25,23,23,hitam
25,23,23,hitam
25,23,23,hitam
24,23,23,hitam
24,22,22,hitam
24,22,22,hitam
24,22,22,hitam
24,22,22,hitam
23,22,22,hitam
24,22,22,hitam
23,22,22,hitam
24,22,22,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,22,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
23,21,21,hitam
